brand_name,company_name,industry_name,kmeans_cluster,hierarchical_cluster,dbscan_cluster,segment_label,initial_greenwashing_level,scope12_total,revenues,country_of_origin,electric_vehicles_percent,major_sustainability_award_last5y
Alion,Bayer,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,1.0,0,51558,United States,0,0
Aliqopa,Bayer,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,1.0,0,51558,United States,0,0
Alka-Seltzer,Bayer,Biotechnology & Pharmaceuticals,1,0,-1,CL-01,1.0,0,51558,United States,0,0
All Good,Procter & Gamble Company,Household & Personal Products,0,0,-1,CL-01,0.0,2315748,80187,United States,0,0
All in Motion,Target,Multiline and Specialty Retailers & Distributors,0,0,-1,CL-01,0.0,1671179,109120,United States,0,0
All Joy,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,-1,CL-01,1.0,0,11000,Philippines,0,0
All out,"S. C. Johnson & Son, Inc.",Household & Personal Products,0,0,-1,CL-01,1.0,0,11000,India,0,0
All-Bran,Kellogg,Processed Foods,0,0,-1,CL-01,0.0,909000,14181,United States,0,0
Allegro,Agropur Dairy Cooperative,"Meat, Poultry & Dairy",0,0,-1,CL-01,0.0,446281,8200,Poland,0,0
Allsaints,"Revlon, Inc.",Household & Personal Products,3,0,-1,CL-01,1.0,0,2079,United Kingdom,0,0
Almay,"Revlon, Inc.",Household & Personal Products,0,0,-1,CL-01,1.0,0,2079,United States,0,0
Almond Dream,Hain Celestial Group Inc.,Processed Foods,0,0,-1,CL-01,0.0,43621,2054,United States,0,0
Almond Joy,Hershey Company,Processed Foods,0,0,-1,CL-01,0.0,247850,8971,United States,0,0
Almus,"Walgreens Boots Alliance, Inc.",Drug Retailers,1,0,-1,CL-01,0.0,1500000,132509,Brazil,0,0
Alpen,"Post Holdings, Inc.",Processed Foods,0,0,-1,CL-01,0.0,621000,6227,United Kingdom,0,0
Alpha-Bits,"Post Holdings, Inc.",Processed Foods,0,0,-1,CL-01,0.0,621000,6227,United States,0,0
Alpine Lace,"Land O'Lakes, Inc.","Meat, Poultry & Dairy",3,0,-1,CL-01,0.0,462612,16000,United States,0,0
Alpine Valley,AAK AB,Food Retailers & Distributors,3,0,-1,CL-01,1.0,0,4260,United States,0,0
Alpine Valley Bakery,"Flowers Foods, Inc.",Processed Foods,3,0,-1,CL-01,0.0,313426,4331,United States,0,0
Alpo,Nestle,Processed Foods,0,0,-1,CL-01,0.0,3470000,105520,United States,0,0
Alpro,Danone S.A.,Processed Foods,3,0,-1,CL-01,0.0,942000,29144,Belgium,0,1
Alred Sung,"Revlon, Inc.",Household & Personal Products,3,0,-1,CL-01,1.0,0,2079,United States,0,0
Altoids,"Mars, Incorporated",Processed Foods,0,0,-1,CL-01,1.0,0,40000,United States,0,0
Always,Procter & Gamble Company,Household & Personal Products,0,0,-1,CL-01,0.0,2315748,80187,United States,1,0
Always Discreet,Procter & Gamble Company,Household & Personal Products,0,0,-1,CL-01,0.0,2315748,80187,United States,1,0
Always Save,Associated Wholesale Grocers,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,12400,United States,1,0
Always Tender,Hormel Foods Corp.,"Meat, Poultry & Dairy",3,0,-1,CL-01,0.0,657906,11386,United States,1,0
Amazin' Fruit Candies,Hershey Company,Processed Foods,0,0,-1,CL-01,0.0,247850,8971,United States,0,0
Amazin' Fruit Super Fruit,Hershey Company,Processed Foods,0,0,-1,CL-01,0.0,247850,8971,United States,0,0
Amazon,Amazon,E-commerce,2,1,-1,CL-02,0.0,17060000,513980,United States,3,0
Amazon Aware,Amazon,E-commerce,1,0,-1,CL-01,0.0,17060000,513980,United States,0,0
Amazon Elements,Amazon,E-commerce,1,0,-1,CL-01,0.0,17060000,513980,United States,0,0
Amazon Fresh,Amazon,E-commerce,1,0,-1,CL-01,0.0,17060000,513980,United States,2,0
Amazon Go,Amazon,E-commerce,1,0,-1,CL-01,0.0,17060000,513980,United States,0,0
Ambi Pur,Procter & Gamble Company,Household & Personal Products,0,0,-1,CL-01,0.0,2315748,80187,Netherlands,0,0
American Accent,"Great Lakes Cheese Company, Inc.",Processed Foods,0,0,-1,CL-01,1.0,0,3400,United States,1,0
American Crew,"Revlon, Inc.",Household & Personal Products,0,0,1,CL-01,1.0,0,2079,Italy,1,0
American Foods Group,Premium Brands Holdings Corp.,Processed Foods,0,0,0,CL-01,0.0,81984,6300,United States,1,0
American Heritage,Schreiber Foods Inc.,"Meat, Poultry & Dairy",0,0,-1,CL-01,1.0,0,5000,United States,1,0
AMH,JBS USA,"Meat, Poultry & Dairy",0,0,2,CL-01,0.0,5558685,374900,Mexico,1,0
Amino Vital,Ajinomoto,Processed Foods,0,0,-1,CL-01,1.0,0,969,Japan,1,0
Amora,Unilever PLC,Household & Personal Products,0,0,-1,CL-01,0.0,730000,59388,Netherlands,1,0
Amp,"PepsiCo, Inc.",Non-Alcoholic Beverages,0,0,-1,CL-01,0.0,4231588,86392,United States,1,0
AMPI Private Label,Associated Milk Producers Inc.,"Meat, Poultry & Dairy",0,0,-1,CL-01,1.0,0,1600,Canada,1,0
Amport,TreeHouse Foods Inc.,Processed Foods,0,0,-1,CL-01,0.0,326429,3297,Netherlands,1,0
Amway Corporation,Amway Corporation,Household & Personal Products,3,0,-1,CL-01,1.0,0,3500,United States,1,0
AM_PM Essentials,"Jeunesse Global, LLC",Household & Personal Products,0,0,-1,CL-01,1.0,0,1300,United States,1,0
ANCO,Agropur Dairy Cooperative,"Meat, Poultry & Dairy",3,0,-1,CL-01,0.0,446281,8200,United States,1,0
André,"E. & J. Gallo Winery, Inc.",Alcoholic Beverages,0,0,3,CL-01,1.0,0,5200,France,1,0
Andy Capp's,Conagra Brands Inc.,Processed Foods,3,0,-1,CL-01,0.0,802107,11500,United States,1,0
Angies BoomChickaPop,Conagra Brands Inc.,Processed Foods,0,0,1,CL-01,0.0,802107,11500,United States,1,0
Angostura,Mizkan,Processed Foods,3,0,-1,CL-01,1.0,0,2066,Trinidad,1,0
Angry Orchard Hard Cider,"Boston Beer Company, Inc.",Alcoholic Beverages,0,0,-1,CL-01,0.0,83299,2058,United States,1,0
Anheuser World Select,Anheuser-Busch InBev,Alcoholic Beverages,0,0,-1,CL-01,0.0,3680000,57800,United States,1,0
Anheuser-Busch,Anheuser-Busch InBev,Alcoholic Beverages,3,0,-1,CL-01,0.0,3680000,57800,United States,2,0
Ann's House of Nuts,TreeHouse Foods Inc.,Processed Foods,0,0,1,CL-01,0.0,326429,3297,United States,1,0
Annapurna Simply Vegetarian,Patel Brothers,Food Retailers & Distributors,0,0,-1,CL-01,1.0,0,50,India,1,0
Annas,Lotus Bakeries,Processed Foods,3,0,-1,CL-01,1.0,0,1116,Sweden,1,0
Annie Chun's,CJ Cheiljedang Corporation,Processed Foods,0,0,0,CL-01,0.0,429374,30000,United States,1,0
Annie's,General Mills,Processed Foods,0,0,-1,CL-01,0.0,356300,18993,United States,1,0
Antica Gelateria del Corso,Nestle,Processed Foods,0,0,1,CL-01,0.0,3470000,105520,Italy,1,0
Aoste,"Smithfield Foods, Inc.","Meat, Poultry & Dairy",0,0,1,CL-01,0.0,3944258,19100,France,1,0
Apothic,"E. & J. Gallo Winery, Inc.",Alcoholic Beverages,0,0,-1,CL-01,1.0,0,5200,United States,1,0
Apple Jacks,Kellogg,Processed Foods,3,0,-1,CL-01,0.0,909000,14181,United States,1,0
Applegate,Hormel Foods Corp.,"Meat, Poultry & Dairy",0,0,-1,CL-01,0.0,657906,11386,United States,1,0
